                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94024,                 1.5037,                 1.1678,                0.74532,                0.74022,                0.77944,                0.55339,                0.87413,                 1.0814,                 1.1144,              0.0033312,              0.0033312,              0.0033312
                      2,                 1.0506,                 1.2624,                 1.2392,                0.67972,                0.68981,                0.70758,                0.47083,                 1.0305,                 1.1924,                 1.2298,              0.0065979,              0.0065979,              0.0065979
                      3,                 1.1938,                 1.3352,                 1.3358,                0.62241,                0.64013,                0.61671,                0.37202,                 1.2413,                 1.3294,                 1.3659,              0.0097979,              0.0097979,              0.0097979
                      4,                 1.2487,                 1.3806,                 1.3815,                0.68825,                  0.689,                0.70717,                 0.4578,                 1.1054,                 1.1551,                 1.2748,                 0.0097,                 0.0097,                 0.0097
                      5,                 1.1845,                 1.2868,                 1.3428,                0.70578,                0.72558,                0.73883,                0.49489,                 1.0379,                 1.0666,                   1.23,                 0.0096,                 0.0096,                 0.0096
                      6,                 1.1381,                 1.2312,                 1.3171,                0.71613,                0.71238,                0.74404,                0.50981,                0.99765,                 1.0286,                 1.2045,                 0.0095,                 0.0095,                 0.0095
                      7,                 1.1151,                 1.1994,                 1.2983,                0.72122,                0.74366,                0.76511,                0.53181,                0.95475,                0.99408,                 1.1747,                 0.0094,                 0.0094,                 0.0094
                      8,                 1.0887,                 1.1636,                 1.2831,                0.73116,                0.74523,                0.77004,                0.53886,                0.94239,                0.95926,                 1.1668,                 0.0093,                 0.0093,                 0.0093
                      9,                 1.0646,                 1.1351,                 1.2653,                0.72777,                0.75273,                0.77742,                0.55557,                0.91046,                0.93338,                 1.1362,                 0.0092,                 0.0092,                 0.0092
                     10,                 1.0478,                 1.1126,                 1.2542,                0.73697,                0.75707,                0.79321,                 0.5787,                0.88422,                0.89426,                 1.1188,                 0.0091,                 0.0091,                 0.0091
                     11,                 1.0344,                 1.0992,                 1.2488,                0.75426,                0.75924,                 0.7947,                 0.5815,                0.86705,                0.86711,                 1.1133,                  0.009,                  0.009,                  0.009
                     12,                 1.0253,                 1.0824,                 1.2386,                0.74554,                0.75579,                0.78851,                0.58209,                0.85824,                0.87522,                  1.103,                 0.0089,                 0.0089,                 0.0089
                     13,                 1.0188,                   1.07,                 1.2326,                0.74523,                0.76186,                0.79946,                0.59744,                0.84133,                0.85231,                  1.097,                 0.0088,                 0.0088,                 0.0088
                     14,                 1.0044,                 1.0537,                 1.2281,                0.76185,                0.76179,                0.80824,                0.60508,                0.82396,                0.83255,                 1.0842,                 0.0087,                 0.0087,                 0.0087
                     15,                0.99935,                  1.052,                 1.2237,                0.76018,                0.76316,                0.80798,                0.60708,                0.82598,                0.82817,                 1.0827,                 0.0086,                 0.0086,                 0.0086
                     16,                0.98892,                 1.0382,                 1.2143,                0.75644,                0.77488,                0.81485,                 0.6126,                0.81584,                0.81073,                 1.0784,                 0.0085,                 0.0085,                 0.0085
                     17,                0.98276,                  1.029,                 1.2098,                0.75559,                0.78238,                0.81643,                0.61806,                0.80609,                0.80329,                 1.0701,                 0.0084,                 0.0084,                 0.0084
                     18,                0.97462,                 1.0222,                 1.2038,                0.75744,                0.78481,                0.81854,                0.61843,                0.80597,                0.79273,                 1.0685,                 0.0083,                 0.0083,                 0.0083
                     19,                0.97378,                 1.0133,                 1.2017,                0.76586,                0.78177,                0.82379,                0.62571,                 0.7913,                0.78872,                 1.0592,                 0.0082,                 0.0082,                 0.0082
                     20,                0.96548,                 1.0072,                 1.1986,                0.77471,                0.78015,                 0.8239,                0.62999,                0.78191,                0.78426,                  1.057,                 0.0081,                 0.0081,                 0.0081
                     21,                  0.958,                  1.001,                 1.1959,                0.76376,                0.78461,                0.82245,                0.63328,                0.77655,                0.77738,                 1.0516,                  0.008,                  0.008,                  0.008
                     22,                0.95698,                0.99633,                 1.1935,                0.76738,                0.78827,                0.82826,                0.63805,                0.77283,                0.76521,                 1.0492,                 0.0079,                 0.0079,                 0.0079
